,Date,Open,High,Low,Close,Adj Close,Volume,ta_rsi,ta_stoch_k,ta_stoch_d,ta_stoch_rsi_k,ta_stoch_rsi_d
0,2019-03-19,4032.6918950000004,4082.216064,4023.8125,4071.190186,4071.190186,9344919956.0,,,,,
1,2019-03-20,4070.7939450000003,4089.461914,4031.11084,4087.476318,4087.476318,10175916388.0,,,,,
2,2019-03-21,4083.953857,4097.359863000001,4005.1513670000004,4029.326904,4029.326904,10831212661.0,,,,,
3,2019-03-22,4028.514648,4053.906738,4021.5424799999996,4023.968262,4023.968262,9252935969.0,,,,,
4,2019-03-23,4022.713379,4049.882568,4015.9646,4035.8264159999994,4035.8264159999994,9578850549.0,,,,,
5,2019-03-24,4035.163574,4040.699707,4006.192871,4022.1682130000004,4022.1682130000004,9144851064.0,,,,,
6,2019-03-25,4024.112793,4038.8408200000003,3934.03125,3963.070557,3963.070557,10359818882.0,,,,,
7,2019-03-26,3969.22876,3985.080811,3944.7531740000004,3985.080811,3985.080811,10707678814.0,,,,,
8,2019-03-27,3984.2448729999996,4087.0661619999996,3977.810547,4087.0661619999996,4087.0661619999996,10897131934.0,,53.455056306337326,34.29850765520265,,
9,2019-03-28,4087.584473,4094.9021,4040.266357,4069.107178,4069.107178,9353915899.0,,75.51697811723298,51.74844673939442,,
10,2019-03-29,4068.2998049999997,4113.500977000001,4034.097168,4098.374511999999,4098.374511999999,10918665556.0,,91.84567511598588,73.60590317985206,,
11,2019-03-30,4092.1362299999996,4296.806640999999,4053.909668,4106.660156,4106.660156,9732688060.0,,73.84211383685022,80.40158902335635,,
12,2019-03-31,4105.456055,4113.023438,4094.10083,4105.404297,4105.404297,9045122442.0,,59.18647506965789,74.95808800749799,,
13,2019-04-01,4105.362305,4164.953125,4096.901367,4158.183105,4158.183105,10157794170.0,,44.40699604445416,59.145194983654086,,
14,2019-04-02,4156.919434,4905.95459,4155.316895,4879.87793,4879.87793,21315047816.0,86.11356975690683,61.41358009076881,55.002350401626956,,
15,2019-04-03,4879.958008,5307.003418,4876.621094,4973.021973,4973.021973,22899891582.0,87.25536136889106,72.52988640665474,59.45015418062591,,
